Hive,N/A,N/A,700.0,266.6666666666667,REPETITION
Foodsource,55,7,1278,296
Foodsource,24,1,415,579
Foodsource,58,2,1027,405
Foodsource,65,3,237,610
Foodsource,29,1,261,290
Foodsource,32,6,1110,123
Foodsource,65,6,975,301
Foodsource,56,6,291,147
Foodsource,21,2,955,113
Foodsource,39,7,942,205
Foodsource,65,3,1222,561
Foodsource,29,5,932,730
Foodsource,30,2,1148,524
Foodsource,31,2,1328,143
Foodsource,32,7,172,744
Foodsource,28,6,1043,209
Foodsource,27,4,999,70
Foodsource,50,7,1002,384
Foodsource,43,7,1109,668
Foodsource,47,4,1274,262
